Código INE:,Localidad:,Fecha:,Festividad:
,Pedrosas (Las),16/08/2017,
,Pedrosas (Las),24/08/2017,
50206000000,Perdiguera,15/05/2017,San Isidro
50206000000,Perdiguera,29/07/2017,Santa Beatriz
50207000000,Piedratajada,20/01/2017,
50207000000,Piedratajada,31/08/2017,
50208000000,Pina de Ebro,05/05/2017,
50208000000,Pina de Ebro,16/08/2017,
50209000000,Pinseque,28/04/2017,
50209000000,Pinseque,16/08/2017,
50210000000,Pintanos (Los),,
50210000000,Pintanos (Los),,
50211000000,Plasencia de Jalón,06/02/2017,Santa Águeda
50211000000,Plasencia de Jalón,13/06/2017,San Antonio de Padua
50212000000,Pleitas de Jalón,29/04/2017,San Pedro Mártir de Verona
50212000000,Pleitas de Jalón,24/06/2017,San Juan
50213000000,Plenas,02/05/2017,La Virgen del Carrascal
50213000000,Plenas,28/08/2017,San Agustín
50214000000,Pomer,25/04/2017,
50214000000,Pomer,16/08/2017,San Roque
,Pozuel de Ariza,17/05/2017,
,Pozuel de Ariza,16/08/2017,
50216000000,Pozuelo de Aragón,17/01/2017,
50216000000,Pozuelo de Aragón,26/07/2017,
50217000000,Pradilla de Ebro,20/01/2017,
50217000000,Pradilla de Ebro,07/09/2017,
50218000000,Puebla de Albortón,20/01/2017,San Sebastián
50218000000,Puebla de Albortón,07/10/2017,Ntra.Sra. Virgen del Rosario
50219000000,Puebla de Alfindén (La),24/03/2017,R.D 2/2015
50219000000,Puebla de Alfindén (La),16/08/2017,San Roque
,Puendeluna,,
,Puendeluna,,
,Purujosa,,
,Purujosa,,
50222000000,Quinto,17/04/2017,San Bonastre
50222000000,Quinto,26/07/2017,Santa Ana
,Remolinos,13/06/2017,San Antonio de Padua
,Remolinos,14/09/2017,Santo Cristo de la Cueva
50224000000,Retascón,,
50224000000,Retascón,,
50225000000,Ricla,22/05/2017,
50225000000,Ricla,21/07/2017,
50227000000,Romanos,,
50227000000,Romanos,,
50228000000,Rueda de Jalón,,
50228000000,Rueda de Jalón,,
50229000000,Ruesca,30/01/2017,
50229000000,Ruesca,31/08/2017,
50241000000,Sabiñán,16/08/2017,
50241000000,Sabiñán,14/09/2017,
50230000000,Sádaba,20/03/2017,
50230000000,Sádaba,03/05/2017,
50231000000,Salillas de Jalón,,
50231000000,Salillas de Jalón,,
50232000000,Salvatierra de Esca,20/01/2017,San Sebastián
50232000000,Salvatierra de Esca,08/09/2017,La Virgen de septiembre
50233000000,Samper del Salz,10/05/2017,Santa Espina
50233000000,Samper del Salz,28/07/2017,Fiesta de Verano
50234000000,San Martín de la Virgen de Moncayo,05/05/2017,La Cruz de Mayo
50234000000,San Martín de la Virgen de Moncayo,10/11/2017,
50235000000,San Mateo de Gállego,20/01/2017,San Sebastián
50235000000,San Mateo de Gállego,15/05/2017,San Isidro
50236000000,Santa Cruz de Grío,03/02/2017,
50236000000,Santa Cruz de Grío,04/02/2017,
50237000000,Santa Cruz de Moncayo,03/05/2017,Cruz de Mayo
50237000000,Santa Cruz de Moncayo,04/12/2017,Santa Barbara
50238000000,Santa Eulalia de Gállego,16/08/2017,
50238000000,Santa Eulalia de Gállego,11/12/2017,
50239000000,Santed,19/06/2017,San Lamberto
,Santed,08/08/2017,San Roque
50240000000,Sástago,17/01/2017,
50240000000,Sástago,25/04/2017,
,Sabiñán,16/08/2017,
,Sabiñán,14/09/2017,
50242000000,Sediles,03/02/2017,San Blas
50242000000,Sediles,02/05/2017,Virgen del Villar
50243000000,Sestrica,17/07/2017,Virgen del Carmen
50243000000,Sestrica,24/08/2017,San Bartolomé
50244000000,Sierra de Luna,,
50244000000,Sierra de Luna,,
50245000000,Sigüés,25/07/2017,Santiago
50245000000,Sigüés,26/12/2017,San Esteban
,Sisamón,,
,Sisamón,,
50247000000,Sobradiel,25/04/2017,
50247000000,Sobradiel,13/06/2017,
50248000000,Sos del Rey Católico,05/06/2017,Nª Sª de Valentuñana
50248000000,Sos del Rey Católico,26/12/2017,San Esteban
50249000000,Tabuenca,20/01/2017,
50249000000,Tabuenca,08/09/2017,
50250000000,Talamantes,23/05/2017,Virgen de Constantín
50250000000,Talamantes,29/09/2017,San Miguel
50251000000,Tarazona,28/08/2017,San Agustín
50251000000,Tarazona,05/10/2017,San Atilano
50252000000,Tauste,21/04/2017,
50252000000,Tauste,08/05/2017,
50253000000,Terrer,,
50253000000,Terrer,,
50254000000,Tierga,03/05/2017,
50254000000,Tierga,30/08/2017,
,Tobed,14/02/2017,San Valentín
,Tobed,08/09/2017,Dia de la Virgen
,Torralba de los Frailes,,
,Torralba de los Frailes,,
50257000000,Torralba de Ribota,23/01/2017,
50257000000,Torralba de Ribota,15/05/2017,
50258000000,Torralbilla,,
50258000000,Torralbilla,,
,Torrehermosa,,
,Torrehermosa,,
50260000000,Torrelapaja,25/08/2017,
50260000000,Torrelapaja,10/11/2017,
50261000000,Torrellas,24/03/2017,
50261000000,Torrellas,25/09/2017,
50262000000,Torres de Berrellén,08/05/2017,
50262000000,Torres de Berrellén,09/05/2017,
50263000000,Torrijo de la Cañada,25/08/2017,
50263000000,Torrijo de la Cañada,11/09/2017,
50264000000,Tosos,03/02/2017,San Blas
50264000000,Tosos,24/08/2017,San Bartolomé
50265000000,Trasmoz,,
50265000000,Trasmoz,,
,Trasobares,,
,Trasobares,,
50267000000,Uncastillo,29/05/2017,
50267000000,Uncastillo,08/09/2017,
,Undués de Lerda,,
,Undués de Lerda,,
50269000000,Urrea de Jalón,20/01/2017,San Sebastián
50269000000,Urrea de Jalón,02/10/2017,Ntra. Sra. del Rosario
,Urries,,
,Urries,,
50271000000,Used,23/01/2017,
50271000000,Used,15/05/2017,
50272000000,Utebo,19/06/2017,San Lamberto
50272000000,Utebo,26/07/2017,Santa Ana
50274000000,Val de San Martín,,
50274000000,Val de San Martín,,
,Valdehorna,,
,Valdehorna,,
50275000000,Valmadrid,09/05/2017,San Gregorio
50275000000,Valmadrid,17/07/2017,San Fausto
50276000000,Valpalmas,14/08/2017,
50276000000,Valpalmas,05/12/2017,
50277000000,Valtorres,24/06/2017,San Juan
50277000000,Valtorres,07/10/2017,Virgen del Rosario
50278000000,Velilla de Ebro,04/08/2017,
50278000000,Velilla de Ebro,07/12/2017,
,Velilla de Jiloca,,
,Velilla de Jiloca,,
50280000000,Vera de Moncayo,15/05/2017,San Isidro
50280000000,Vera de Moncayo,15/11/2017,Virgen de Veruela
,Vierlas,,
,Vierlas,,
50283000000,Villadoz,27/07/2017,
50283000000,Villadoz,11/11/2017,San Martín
50284000000,Villafeliche,,
50284000000,Villafeliche,,
50285000000,Villafranca de Ebro,28/04/2017,
50285000000,Villafranca de Ebro,04/12/2017,
,Villalba del Perejil,06/02/2017,
,Villalba del Perejil,10/07/2017,
50287000000,Villalengua,,
50287000000,Villalengua,,
,Villamayor de Gállego,08/09/2017,Festividad Virgen del Pueyo
,Villamayor de Gállego,11/09/2017,Festividad Virgen del Pueyo
50288000000,Villanueva de Gállego,15/05/2017,
50288000000,Villanueva de Gállego,07/08/2017,
,Villanueva de Huerva,03/02/2017,San Blas
,Villanueva de Huerva,26/07/2017,Santa Ana
,Villanueva de Jiloca,,
,Villanueva de Jiloca,,
,Villar de los Navarros,,
,Villar de los Navarros,,
50292000000,Villarreal de Huerva,08/05/2017,San Miguel
50292000000,Villarreal de Huerva,06/06/2017,Virgen del Rosario
50293000000,Villarroya de la Sierra,,
50293000000,Villarroya de la Sierra,,
50294000000,Villarroya del Campo,22/05/2017,Santa Quiteria
50294000000,Villarroya del Campo,07/08/2017,Ntra. Sra. Virgen del Rosario
,Viñuela (La),,
,Viñuela (La),,
50295000000,Vistabella de Huerva,22/05/2017,Santa Quiteria
50295000000,Vistabella de Huerva,29/09/2017,San Miguel
50296000000,Zaida (La),16/08/2017,San Roque
50296000000,Zaida (La),04/12/2017,Santa Bárbara
50297000000,Zaragoza,06/03/2017,
50297000000,Zaragoza,13/10/2017,
50298000000,Zuera,05/06/2017,Virgen del Salz
50298000000,Zuera,26/08/2017,San Licer
